day,distance,duration
01/04/20,16.46,45
02/04/20,16.87,45
17/04/20,17.37,45
22/04/20,18.22,45
26/04/20,18.96,45
30/04/20,19.05,45
05/05/20,19.41,45
09/05/20,17.90,45
12/05/20,19.17,45
22/05/20,19.02,45
27/05/20,20.46,45
28/05/20,18.99,45
01/06/20,20.04,45
08/06/20,19.09,45
10/06/20,19.53,45
14/06/20,20.28,45
20/06/20,20.70,45
21/06/20,20.48,45
26/06/20,20.78,45
30/06/20,20.43,45
02/07/20,20.04,45
05/07/20,20.10,45
09/07/20,19.20,45
11/07/20,19.53,45
14/07/20,20.38,45
18/07/20,20.70,45
20/07/20,20.48,45
24/07/20,19.78,45
29/07/20,20.43,45
